datetime,flow_max_m^3/s,flow_75%_m^3/s,flow_avg_m^3/s,flow_25%_m^3/s,flow_min_m^3/s,high_res_m^3/s
2023-10-23 18:00:00+00:00,583.80035,298.3660125732422,222.67203,110.81413269042967,56.544907,
2023-10-24 00:00:00+00:00,604.5642,309.9147033691406,231.41685,106.41651916503906,55.288013,
2023-10-24 06:00:00+00:00,619.7125,332.1467590332031,240.73022,103.97601318359376,54.379982,
2023-10-24 12:00:00+00:00,633.8845,354.8799591064453,251.40863,105.73571014404295,55.940228,
2023-10-24 18:00:00+00:00,643.8114,371.8893432617188,261.70032,111.46345138549805,58.40829,
2023-10-25 00:00:00+00:00,652.51984,380.7769775390625,270.9375,113.02814483642578,59.719006,
2023-10-25 06:00:00+00:00,671.6024,414.7116394042969,280.60138,115.62442016601562,59.510086,
2023-10-25 12:00:00+00:00,703.9597,450.5860900878906,291.57913,126.65305709838869,60.64783,
2023-10-25 18:00:00+00:00,737.9826,431.06396484375,302.05966,123.93704986572266,62.187286,
2023-10-26 00:00:00+00:00,762.2888,448.5842742919922,310.52655,124.04066848754884,60.94296,
