datetime,ensemble_01_m^3/s,ensemble_10_m^3/s,ensemble_11_m^3/s,ensemble_12_m^3/s,ensemble_13_m^3/s,ensemble_14_m^3/s,ensemble_15_m^3/s,ensemble_16_m^3/s,ensemble_17_m^3/s,ensemble_18_m^3/s,ensemble_19_m^3/s,ensemble_02_m^3/s,ensemble_20_m^3/s,ensemble_21_m^3/s,ensemble_22_m^3/s,ensemble_23_m^3/s,ensemble_24_m^3/s,ensemble_25_m^3/s,ensemble_26_m^3/s,ensemble_27_m^3/s,ensemble_28_m^3/s,ensemble_29_m^3/s,ensemble_03_m^3/s,ensemble_30_m^3/s,ensemble_31_m^3/s,ensemble_32_m^3/s,ensemble_33_m^3/s,ensemble_34_m^3/s,ensemble_35_m^3/s,ensemble_36_m^3/s,ensemble_37_m^3/s,ensemble_38_m^3/s,ensemble_39_m^3/s,ensemble_04_m^3/s,ensemble_40_m^3/s,ensemble_41_m^3/s,ensemble_42_m^3/s,ensemble_43_m^3/s,ensemble_44_m^3/s,ensemble_45_m^3/s,ensemble_46_m^3/s,ensemble_47_m^3/s,ensemble_48_m^3/s,ensemble_49_m^3/s,ensemble_05_m^3/s,ensemble_50_m^3/s,ensemble_51_m^3/s,ensemble_52_m^3/s,ensemble_06_m^3/s,ensemble_07_m^3/s,ensemble_08_m^3/s,ensemble_09_m^3/s
2023-11-01 22:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.24271,,,,
2023-11-01 23:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.14596,,,,
2023-11-02 00:00:00+00:00,51.147545,86.22418,43.75133,56.12698,51.60905,48.139038,46.789368,49.637684,53.929424,54.1552,54.39382,46.307087,54.053932,49.30251,50.646893,80.6627,48.625328,9.761737,52.6496,17.255737,53.047638,57.303513,46.61891,21.176256,53.98017,47.57202,59.263187,25.302143,73.5935,46.538277,34.626076,35.763695,48.72518,24.053505,45.63973,63.804443,20.841057,57.444782,57.841446,39.41512,51.742725,50.207645,22.546423,37.33437,39.862015,56.52898,54.590897,55.665257,17.479134,33.728146,47.53927,24.26286
2023-11-02 01:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.18769,,,,
2023-11-02 02:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.32669,,,,
2023-11-02 03:00:00+00:00,47.784683,106.68809,41.939533,63.054867,55.810005,44.75454,43.631004,50.56718,51.203648,50.21123,50.367085,47.506733,54.551056,49.698666,54.151585,71.99711,47.336983,10.125801,54.395275,16.694448,53.208195,52.866436,43.1086,20.460035,49.698742,44.339756,73.065704,24.117151,66.26927,43.89997,39.158672,34.24411,52.248608,23.032047,43.646336,79.97092,19.669495,58.375446,54.22597,38.011246,50.66572,48.20871,35.739594,36.036114,38.06575,55.400414,53.24373,60.118908,22.303658,36.37547,44.33158,27.642183
2023-11-02 04:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.84296,,,,
2023-11-02 05:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.27436,,,,
2023-11-02 06:00:00+00:00,44.968796,93.39773,40.39644,70.5193,58.508827,41.906242,47.096466,86.267975,47.31784,46.859566,46.989307,44.16269,50.809036,50.94987,89.989006,64.87054,53.446953,9.821615,61.72342,16.242123,49.883976,50.4061,44.75354,19.834654,46.136604,41.557606,75.68892,23.2973,58.847057,44.747738,43.257256,32.93316,55.67813,21.946812,42.13944,82.83089,21.108458,53.16288,50.222897,36.489628,48.878483,47.95609,45.33213,34.897118,36.508503,50.65867,51.647068,100.5231,19.792854,39.93253,42.35313,30.675478
2023-11-02 07:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.34367,,,,
