rivid,classification,strmOrder
110130898,normal range,2
110346066,normal range,2
110141394,normal range,2
110344754,normal range,2
110407730,normal range,2
110380178,normal range,2
110168946,normal range,2
110405106,normal range,2
110174194,wet,2
110321138,wet,2
110350002,wet,2
110195186,normal range,2
110351314,wet,2
110323762,normal range,2
110369682,normal range,2
110283090,normal range,2
110327698,normal range,2
110297523,normal range,2
110298835,normal range,2
110326387,normal range,2
110016755,normal range,2
110370995,normal range,2
110032499,normal range,2
110049555,normal range,2
110301459,normal range,2
110075795,normal range,2
110302771,normal range,2
110091539,normal range,2
110305395,normal range,2
110306707,extremely wet,2
110342131,normal range,2
110343443,normal range,2
110309331,normal range,2
110310643,normal range,2
110311955,normal range,2
110144019,normal range,2
110149267,normal range,2
110157139,normal range,2
110165011,normal range,2
110315891,normal range,2
110288339,normal range,2
110317203,normal range,2
110199123,normal range,2
110296211,wet,2
110364436,normal range,2
110014132,extremely wet,2
110019380,extremely wet,2
110368372,normal range,2
110302772,normal range,2
110398548,normal range,2
110036436,normal range,2
110046932,normal range,2
110056116,normal range,2
110369684,normal range,2
110065300,normal range,2
110323764,normal range,2
110374932,normal range,2
110090228,normal range,2
110325076,normal range,2
110098100,normal range,2
110326388,normal range,2
110113844,normal range,2
110120404,normal range,2
110327700,normal range,2
110329012,normal range,2
110330324,normal range,2
110145332,normal range,2
110331636,normal range,2
110432660,normal range,2
110311956,normal range,2
110158452,normal range,2
110162388,normal range,2
110350004,normal range,2
110436596,normal range,2
110352628,normal range,2
110332948,normal range,2
110355252,normal range,2
110356564,wet,2
110287028,wet,2
110386740,wet,2
110391988,wet,2
110394613,wet,2
110029877,normal range,2
110334261,extremely dry,2
110315893,normal range,2
110053493,normal range,2
110367061,normal range,2
110335573,normal range,2
110073173,normal range,2
110343445,normal range,2
110319829,normal range,2
110338197,normal range,2
110094165,normal range,2
110344757,normal range,2
110321141,normal range,2
110322453,normal range,2
110347381,normal range,2
110125653,normal range,2
110142709,normal range,2
110150581,normal range,2
110158453,normal range,2
110326389,normal range,2
110350005,normal range,2
110329013,normal range,2
110352629,normal range,2
110184693,normal range,2
110355253,normal range,2
110384117,normal range,2
110212245,normal range,2
110360501,normal range,2
110332950,normal range,2
110334262,normal range,2
110335574,normal range,2
110338198,normal range,2
110394614,normal range,2
110339510,normal range,2
110045622,normal range,2
110340822,normal range,2
110372310,wet,2
110373622,normal range,2
110342134,wet,2
110343446,normal range,2
110346070,normal range,2
110350006,normal range,2
110082358,normal range,2
110105974,normal range,2
110115158,normal range,2
110123030,normal range,2
110351318,normal range,2
110140086,normal range,2
110309334,normal range,2
110147958,normal range,2
110313270,normal range,2
110384118,dry,2
110353942,normal range,2
110315894,normal range,2
110212246,normal range,2
110216182,normal range,2
110318518,extremely wet,2
110225366,wet,2
110370998,normal range,2
110327702,normal range,2
110330326,normal range,2
110401174,normal range,2
110368375,normal range,2
110305399,normal range,2
110412983,normal range,2
110028567,normal range,2
110042999,normal range,2
110326391,normal range,2
110330327,normal range,2
110065303,normal range,2
110331639,normal range,2
110334263,normal range,2
110098103,normal range,2
110308023,normal range,2
110390679,normal range,2
110309335,normal range,2
110120407,normal range,2
110336887,normal range,2
110144023,normal range,2
110168951,normal range,2
110343447,normal range,2
110445783,normal range,2
110191255,normal range,2
110311959,normal range,2
110199127,normal range,2
110376247,normal range,2
110347383,normal range,2
110281783,normal range,2
110287031,wet,2
110353943,normal range,2
110294903,normal range,2
110279160,normal range,2
110048248,wet,2
110073176,normal range,2
110077112,normal range,2
110338200,normal range,2
110283096,normal range,2
110260792,normal range,2
110284408,normal range,2
110262104,normal range,2
110287032,normal range,2
110112536,normal range,2
110288344,normal range,2
110289656,normal range,2
110263416,wet,2
110292280,normal range,2
110266040,normal range,2
110216184,normal range,2
110294904,normal range,2
110296216,extremely wet,2
110330328,wet,2
110239800,extremely wet,2
110246360,extremely wet,2
110251608,normal range,2
110268664,normal range,2
110271288,normal range,2
110347384,extremely dry,2
110272600,normal range,2
110305400,normal range,2
110369688,normal range,2
110004953,normal range,2
110011513,normal range,2
110018073,normal range,2
110330329,normal range,2
110388057,normal range,2
110029881,normal range,2
110331641,normal range,2
110043001,normal range,2
110058745,dry,2
110063993,dry,2
110350009,wet,2
110352633,normal range,2
110332953,normal range,2
110334265,normal range,2
110082361,extremely wet,2
110335577,normal range,2
110100729,normal range,2
110357881,normal range,2
110113849,normal range,2
110360505,extremely wet,2
110336889,wet,2
110145337,normal range,2
110149273,normal range,2
110155833,normal range,2
110364441,dry,2
110170265,extremely dry,2
110176825,normal range,2
110365753,normal range,2
110187321,normal range,2
110367065,normal range,2
110391993,normal range,2
110369689,normal range,2
110208313,wet,2
110212249,normal range,2
110371001,extremely wet,2
110372313,extremely wet,2
110338201,normal range,2
110376249,normal range,2
110248985,normal range,2
110493017,normal range,2
110403801,normal range,2
110340825,normal range,2
110342137,normal range,2
110343449,normal range,2
110384121,wet,2
110386745,wet,2
110003642,extremely wet,2
110010202,wet,2
110014138,extremely wet,2
110024634,normal range,2
110028570,normal range,2
110416922,normal range,2
110468090,normal range,2
110363130,normal range,2
110364442,extremely dry,2
110052186,normal range,2
110367066,normal range,2
110422170,normal range,2
110382810,normal range,2
110384122,normal range,2
110426106,wet,2
110389370,normal range,2
110092858,normal range,2
110098106,normal range,2
110390682,wet,2
110391994,normal range,2
110112538,normal range,2
110117786,normal range,2
110123034,normal range,2
110128282,normal range,2
110393306,normal range,2
110432666,wet,2
110142714,wet,2
110147962,normal range,2
110158458,wet,2
110394618,normal range,2
110433978,wet,2
110174202,normal range,2
110397242,normal range,2
110399866,normal range,2
110369690,extremely dry,2
110371002,normal range,2
110201754,normal range,2
110208314,normal range,2
110216186,normal range,2
110372314,normal range,2
110226682,normal range,2
110230618,normal range,2
110464154,dry,2
110266042,normal range,2
110322458,normal range,2
110329018,normal range,2
110335578,wet,2
110380186,normal range,2
110350010,normal range,2
110355258,normal range,2
110343451,normal range,2
110344763,normal range,2
110015451,normal range,2
110310651,normal range,2
110031195,normal range,2
110314587,extremely wet,2
110036443,wet,2
110346075,wet,2
110315899,wet,2
110062683,extremely wet,2
110066619,normal range,2
110073179,normal range,2
110350011,normal range,2
110351323,normal range,2
110386747,normal range,2
110353947,dry,2
110102043,wet,2
110397243,normal range,2
110317211,normal range,2
110356571,normal range,2
110359195,wet,2
110361819,extremely wet,2
110318523,wet,2
110138779,normal range,2
110372315,normal range,2
110365755,normal range,2
110394619,normal range,2
110373627,normal range,2
110175515,normal range,2
110184699,normal range,2
110323771,normal range,2
110368379,normal range,2
110395931,normal range,2
110212251,normal range,2
110325083,normal range,2
110327707,wet,2
110330331,extremely wet,2
110331643,wet,2
110252923,normal range,2
110266043,normal range,2
110436603,normal range,2
110272603,normal range,2
110332955,normal range,2
110277851,normal range,2
110336891,normal range,2
110369691,normal range,2
110298843,normal range,2
110339515,normal range,2
110342139,normal range,2
110294908,normal range,2
110296220,wet,2
110297532,normal range,2
110298844,normal range,2
110304092,normal range,2
110050876,normal range,2
110306716,normal range,2
110356572,normal range,2
110332956,normal range,2
110092860,normal range,2
110335580,normal range,2
110361820,normal range,2
110111228,normal range,2
110117788,normal range,2
110309340,normal range,2
110126972,normal range,2
110310652,wet,2
110336892,wet,2
110147964,wet,2
110393308,extremely wet,2
110315900,extremely wet,2
110151900,extremely wet,2
110170268,normal range,2
110373628,extremely wet,2
110179452,normal range,2
110184700,normal range,2
110197820,normal range,2
110338204,normal range,2
110213564,normal range,2
110216188,normal range,2
110339516,normal range,2
110321148,normal range,2
110245052,normal range,2
110252924,normal range,2
110460220,normal range,2
110269980,wet,2
110344764,normal range,2
110285724,wet,2
110326396,wet,2
110329020,wet,2
110330332,wet,2
110008893,wet,2
110420861,normal range,2
110319837,normal range,2
110376253,normal range,2
110019389,normal range,2
110290973,normal range,2
110292285,normal range,2
110041693,normal range,2
110293597,normal range,2
110294909,normal range,2
110336893,wet,2
110048253,extremely wet,2
110057437,extremely wet,2
110323773,wet,2
110067933,normal range,2
110077117,normal range,2
110096797,normal range,2
110329021,normal range,2
110300157,normal range,2
110360509,normal range,2
110301469,normal range,2
110363133,wet,2
110171581,wet,2
110176829,wet,2
110180765,extremely wet,2
110367069,extremely wet,2
110304093,wet,2
110195197,normal range,2
110490397,normal range,2
110207005,normal range,2
110235869,normal range,2
110243741,normal range,2
110314589,normal range,2
110318525,normal range,2
110276541,normal range,2
110288349,wet,2
110294910,normal range,2
110004958,normal range,2
110279166,wet,2
110020702,wet,2
110032510,wet,2
110280478,wet,2
110039070,extremely wet,2
110281790,extremely wet,2
110297534,extremely wet,2
110318526,wet,2
110054814,normal range,2
110321150,normal range,2
110360510,normal range,2
110067934,normal range,2
110326398,normal range,2
110120414,normal range,2
110395934,normal range,2
110313278,normal range,2
110133534,normal range,2
110157150,wet,2
