month,Azuay,Bolivar,Carchi,Ca?ñar,Chimborazo,Cotopaxi,El Oro,Esmeraldas,Galapagos,Guayas,IMBABURA,Loja,Los Rios,Manabi,Morona Santiago,Napo,Orellana,Pastaza,Pichincha,Santa Elena,Santo Domingo de los Tsachilas,Sucumbios,Tungurahua,Zamora Chinchipe
12/1/2013,25.04366717,24.75112303,32.28329661,25.7532433,30.04131527,28.53588453,16.09559162,30.51557869,11.3936861,20.87199385,30.31076573,18.51481431,24.30567287,25.25479111,32.37690171,31.29589561,37.09644994,36.98761141,30.31634468,17.86343312,26.4117625,35.78659138,29.06399063,26.50960583
1/1/2014,26.13814489,28.25140099,32.7825651,27.61449075,29.8148816,30.47302328,18.23984037,33.10990585,18.53473512,25.86877865,31.78546742,20.69076624,29.63417681,30.15907221,31.3248544,31.20240902,36.7566859,37.0557137,31.91480774,21.64133459,29.71828868,34.67191686,28.51124923,27.59044112
2/1/2014,29.51064621,31.21048775,33.43691788,31.3170949,32.15439919,31.98934116,21.35336944,34.68838073,20.56209262,29.729916,32.42702653,23.16338518,32.99975429,33.43526076,34.10607375,32.32783977,37.86037017,38.17969782,32.81189687,25.77268195,31.58683385,35.96956842,30.43385573,30.08479942
3/1/2014,30.75142441,32.08625749,34.0982577,32.18041636,32.85778865,32.56869946,22.46766851,35.52294355,16.95839361,30.4205982,33.04296122,25.71713965,34.17956032,34.08208361,35.07534756,33.02055977,38.95090263,38.90917505,33.4092061,26.19741449,31.9239443,37.33655428,31.1418929,31.96873553
4/1/2014,29.89171766,31.17494,33.77786879,31.18178284,31.71996792,32.095377,21.15123749,35.98097758,16.1097675,28.73362736,32.78750728,22.9971158,33.71649529,33.05881285,34.45473939,32.36198126,38.58800968,38.64182905,33.25701185,23.71892519,32.25787386,36.87659456,29.82440735,30.30246701
5/1/2014,31.73669491,32.17137884,34.81111658,32.8366598,32.39713402,32.44886973,24.37192267,36.56343035,20.04833649,30.65755038,33.99798848,25.48960211,34.6704718,32.72372927,34.75911236,33.03588403,38.89545748,38.74080785,33.84805256,26.0690985,32.5662691,37.4876944,30.01762163,31.41370807
6/1/2014,29.63274432,30.23761027,32.64930712,30.14357126,30.96611901,30.3703274,21.7523317,34.90103285,18.19736718,25.97186336,31.39752892,22.46241786,32.49667639,28.71764228,33.88523539,31.76936999,38.37703891,37.99984249,31.89499053,19.57560247,29.63048135,36.5510889,29.15820338,29.88088912
7/1/2014,29.08079659,28.78243592,31.53178741,29.37965877,30.45876202,28.77125444,21.16040234,32.88455945,15.88258726,25.62410968,30.70453772,23.39793844,30.78398935,26.84854478,33.52044262,30.60181796,37.22573533,37.39735382,30.51795983,21.19466913,28.23903741,35.47076177,28.38290534,30.57547859
8/1/2014,26.0767392,26.13826998,30.45927684,26.14428346,29.20613028,27.21645719,16.82978278,31.44426474,12.86904991,21.79196572,28.93173194,18.40984471,27.41726163,24.59361591,32.28584642,29.94580832,36.96494581,36.71665163,29.03273885,18.00996884,26.58462112,34.9772953,27.96767019,27.67099251
9/1/2014,25.13301707,25.72670833,30.47897911,25.83198172,29.20027319,27.16689307,16.1981598,31.03209379,13.256908,22.30582724,29.00701129,18.88607404,26.60656832,24.93273464,31.67866185,30.028837,36.9495749,37.09499628,28.85817812,19.01641019,26.08544138,34.52533213,28.02936466,26.88792338
