datetime,flow_max_m^3/s,flow_75%_m^3/s,flow_avg_m^3/s,flow_25%_m^3/s,flow_min_m^3/s,high_res_m^3/s
2023-11-23 12:00:00+00:00,2170.9749,1024.1511840820312,896.0466,671.943359375,394.33798,969.68805
2023-11-23 18:00:00+00:00,1978.9232,1003.0550537109376,879.6661,672.8743286132812,378.82184,919.73413
2023-11-24 00:00:00+00:00,1750.4453,975.067413330078,858.82355,683.6056823730469,374.97388,882.1919
2023-11-24 06:00:00+00:00,1561.6768,976.7019653320312,839.7969,684.6072998046875,390.57092,855.07245
2023-11-24 12:00:00+00:00,1419.8928,945.07177734375,823.8462,682.1936340332031,423.9667,851.0507
2023-11-24 18:00:00+00:00,1346.1581,921.156494140625,810.9373,686.8252258300781,433.17688,837.304
2023-11-25 00:00:00+00:00,1354.0765,892.0625305175781,804.33136,702.1741333007812,423.74356,815.7281
2023-11-25 06:00:00+00:00,1270.604,891.06005859375,793.05914,686.0112915039062,415.8595,788.5188
2023-11-25 12:00:00+00:00,1158.3376,866.7559814453125,777.2852,671.5994873046875,408.9929,752.06506
2023-11-25 18:00:00+00:00,1234.9137,865.4789428710938,763.6722,664.3879089355469,401.95956,715.33575
2023-11-26 00:00:00+00:00,1309.9095,868.4093627929688,753.64386,663.0386962890625,392.9823,681.1891
2023-11-26 06:00:00+00:00,1282.1735,866.8328247070312,744.232,664.4015197753906,381.9355,650.6525
2023-11-26 12:00:00+00:00,1197.5125,828.3667907714844,727.90515,639.4825134277344,370.5245,623.3584
2023-11-26 18:00:00+00:00,1102.9572,802.7200927734375,711.796,631.6113586425781,358.869,599.31104
2023-11-27 00:00:00+00:00,1032.3826,815.4334411621094,703.68695,612.272216796875,350.18265,576.5519
2023-11-27 06:00:00+00:00,1041.759,820.4322509765625,697.49854,599.4175109863281,347.19504,
2023-11-27 12:00:00+00:00,1018.7542,803.2599182128906,689.7647,592.9418029785156,345.34286,
2023-11-27 18:00:00+00:00,1055.4309,809.0566101074219,684.5926,573.3494567871094,347.27832,
2023-11-28 00:00:00+00:00,1211.4365,805.5300598144531,686.49335,557.6155700683594,353.88712,
2023-11-28 06:00:00+00:00,1219.0979,781.5065002441406,685.3082,553.3694763183594,353.60828,
2023-11-28 12:00:00+00:00,1223.9492,781.9856872558594,682.7151,548.7905883789062,351.21115,
2023-11-28 18:00:00+00:00,1217.2958,784.9678955078125,678.03156,548.5810241699219,348.96057,
2023-11-29 00:00:00+00:00,1143.0605,785.3936767578125,680.11176,536.6865844726562,360.19385,
2023-11-29 06:00:00+00:00,1228.969,799.9750366210938,684.5489,514.5345764160156,373.47662,
2023-11-29 12:00:00+00:00,1343.1559,800.4811401367188,689.33234,504.4503173828125,382.61862,
2023-11-29 18:00:00+00:00,1449.299,806.1815795898438,686.4276,507.7345123291016,383.65564,
2023-11-30 00:00:00+00:00,1530.5181,812.0921325683594,686.23926,516.4195098876953,380.73334,
2023-11-30 06:00:00+00:00,1536.3895,806.1862182617188,683.4464,521.5878601074219,374.75275,
2023-11-30 12:00:00+00:00,1526.1936,797.0233154296875,681.3192,528.36767578125,367.97818,
2023-11-30 18:00:00+00:00,1488.1532,800.7122802734375,676.2169,517.7366790771484,361.3185,
2023-12-01 00:00:00+00:00,1423.3594,775.1689147949219,675.96924,519.4709777832031,354.36066,
2023-12-01 06:00:00+00:00,1406.2184,761.9546203613281,674.7013,526.7677612304688,346.94965,
2023-12-01 12:00:00+00:00,1409.379,761.5925598144531,666.7449,527.7655334472656,339.1123,
2023-12-01 18:00:00+00:00,1326.8842,745.708251953125,652.6205,513.7317504882812,331.39642,
2023-12-02 00:00:00+00:00,1226.2225,727.6457214355469,639.98517,506.280502319336,329.8701,
