datetime,streamflow_m^3/s
1979-10-05 00:00:00+00:00,167.64923
1979-10-06 00:00:00+00:00,164.45912
1979-10-07 00:00:00+00:00,161.33298
1979-10-08 00:00:00+00:00,158.3799
1979-10-09 00:00:00+00:00,155.48604
1979-10-10 00:00:00+00:00,152.749
1979-10-11 00:00:00+00:00,150.19182
1979-10-12 00:00:00+00:00,148.03181
1979-10-13 00:00:00+00:00,146.10973
1979-10-14 00:00:00+00:00,144.45036
1979-10-15 00:00:00+00:00,142.92136
1979-10-16 00:00:00+00:00,141.12755
1979-10-17 00:00:00+00:00,139.2061
1979-10-18 00:00:00+00:00,137.89119
1979-10-19 00:00:00+00:00,137.46326
1979-10-20 00:00:00+00:00,139.24666
1979-10-21 00:00:00+00:00,143.30792
1979-10-22 00:00:00+00:00,145.83673
1979-10-23 00:00:00+00:00,144.41553
1979-10-24 00:00:00+00:00,139.8709
1979-10-25 00:00:00+00:00,133.94273
1979-10-26 00:00:00+00:00,154.89182
1979-10-27 00:00:00+00:00,268.47427
1979-10-28 00:00:00+00:00,391.5992
1979-10-29 00:00:00+00:00,388.8474
1979-10-30 00:00:00+00:00,292.55508
1979-10-31 00:00:00+00:00,198.84558
1979-11-01 00:00:00+00:00,141.82535
1979-11-02 00:00:00+00:00,149.92328
1979-11-03 00:00:00+00:00,310.25937
1979-11-04 00:00:00+00:00,496.80325
1979-11-05 00:00:00+00:00,539.6495
1979-11-06 00:00:00+00:00,586.5704
1979-11-07 00:00:00+00:00,652.00635
1979-11-08 00:00:00+00:00,574.04364
1979-11-09 00:00:00+00:00,390.09796
1979-11-10 00:00:00+00:00,231.29425
1979-11-11 00:00:00+00:00,143.97527
1979-11-12 00:00:00+00:00,107.827896
1979-11-13 00:00:00+00:00,96.524185
1979-11-14 00:00:00+00:00,96.6921
1979-11-15 00:00:00+00:00,103.52111
1979-11-16 00:00:00+00:00,119.40014
1979-11-17 00:00:00+00:00,161.488
1979-11-18 00:00:00+00:00,329.5629
1979-11-19 00:00:00+00:00,629.75354
1979-11-20 00:00:00+00:00,808.48737
1979-11-21 00:00:00+00:00,724.85406
1979-11-22 00:00:00+00:00,514.58
1979-11-23 00:00:00+00:00,324.91852
1979-11-24 00:00:00+00:00,200.47914
1979-11-25 00:00:00+00:00,133.29097
1979-11-26 00:00:00+00:00,102.72524
1979-11-27 00:00:00+00:00,117.06388
1979-11-28 00:00:00+00:00,219.62895
1979-11-29 00:00:00+00:00,331.13614
1979-11-30 00:00:00+00:00,338.44836
1979-12-01 00:00:00+00:00,267.43433
1979-12-02 00:00:00+00:00,194.47308
1979-12-03 00:00:00+00:00,172.2805
1979-12-04 00:00:00+00:00,214.12802
1979-12-05 00:00:00+00:00,286.40115
1979-12-06 00:00:00+00:00,334.80618
1979-12-07 00:00:00+00:00,387.50684
1979-12-08 00:00:00+00:00,759.6784
1979-12-09 00:00:00+00:00,1159.5819
1979-12-10 00:00:00+00:00,1145.1372
1979-12-11 00:00:00+00:00,933.01953
1979-12-12 00:00:00+00:00,751.2463
1979-12-13 00:00:00+00:00,685.60864
1979-12-14 00:00:00+00:00,656.25464
1979-12-15 00:00:00+00:00,552.0721
1979-12-16 00:00:00+00:00,430.28326
1979-12-17 00:00:00+00:00,437.62582
1979-12-18 00:00:00+00:00,633.12085
1979-12-19 00:00:00+00:00,860.66364
1979-12-20 00:00:00+00:00,999.5647
1979-12-21 00:00:00+00:00,1170.8583
1979-12-22 00:00:00+00:00,1309.2697
1979-12-23 00:00:00+00:00,1303.3993
1979-12-24 00:00:00+00:00,1287.0228
1979-12-25 00:00:00+00:00,1370.7036
1979-12-26 00:00:00+00:00,1537.6234
1979-12-27 00:00:00+00:00,1740.5433
1979-12-28 00:00:00+00:00,1851.9705
1979-12-29 00:00:00+00:00,1746.5558
1979-12-30 00:00:00+00:00,1522.5521
1979-12-31 00:00:00+00:00,1275.4613
1980-01-01 00:00:00+00:00,1034.9944
1980-01-02 00:00:00+00:00,867.71063
1980-01-03 00:00:00+00:00,853.17126
1980-01-04 00:00:00+00:00,988.33075
1980-01-05 00:00:00+00:00,1283.946
1980-01-06 00:00:00+00:00,1773.9688
1980-01-07 00:00:00+00:00,2286.3477
1980-01-08 00:00:00+00:00,2518.9124
1980-01-09 00:00:00+00:00,2668.688
1980-01-10 00:00:00+00:00,2932.978
1980-01-11 00:00:00+00:00,3143.3955
1980-01-12 00:00:00+00:00,3215.1567
1980-01-13 00:00:00+00:00,3119.0947
1980-01-14 00:00:00+00:00,2888.7239
1980-01-15 00:00:00+00:00,2675.7996
1980-01-16 00:00:00+00:00,2620.7402
1980-01-17 00:00:00+00:00,2855.4082
1980-01-18 00:00:00+00:00,3253.29
