datetime,ensemble_01_m^3/s,ensemble_10_m^3/s,ensemble_11_m^3/s,ensemble_12_m^3/s,ensemble_13_m^3/s,ensemble_14_m^3/s,ensemble_15_m^3/s,ensemble_16_m^3/s,ensemble_17_m^3/s,ensemble_18_m^3/s,ensemble_19_m^3/s,ensemble_02_m^3/s,ensemble_20_m^3/s,ensemble_21_m^3/s,ensemble_22_m^3/s,ensemble_23_m^3/s,ensemble_24_m^3/s,ensemble_25_m^3/s,ensemble_26_m^3/s,ensemble_27_m^3/s,ensemble_28_m^3/s,ensemble_29_m^3/s,ensemble_03_m^3/s,ensemble_30_m^3/s,ensemble_31_m^3/s,ensemble_32_m^3/s,ensemble_33_m^3/s,ensemble_34_m^3/s,ensemble_35_m^3/s,ensemble_36_m^3/s,ensemble_37_m^3/s,ensemble_38_m^3/s,ensemble_39_m^3/s,ensemble_04_m^3/s,ensemble_40_m^3/s,ensemble_41_m^3/s,ensemble_42_m^3/s,ensemble_43_m^3/s,ensemble_44_m^3/s,ensemble_45_m^3/s,ensemble_46_m^3/s,ensemble_47_m^3/s,ensemble_48_m^3/s,ensemble_49_m^3/s,ensemble_05_m^3/s,ensemble_50_m^3/s,ensemble_51_m^3/s,ensemble_52_m^3/s,ensemble_06_m^3/s,ensemble_07_m^3/s,ensemble_08_m^3/s,ensemble_09_m^3/s
2024-02-13 01:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6636033,,,,
2024-02-13 02:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4405463,,,,
2024-02-13 03:00:00+00:00,2.8556192,5.258806,3.0081291,3.2563202,6.896093,10.202265,13.077033,3.0030987,2.9161565,3.4504385,3.416559,3.8170402,3.8541448,3.1991868,3.1087909,3.1853807,3.308139,2.8146267,10.5148115,3.6052907,22.04515,4.9928465,3.6085973,4.177149,2.7382042,4.1580415,3.5878248,4.38887,2.716109,3.2441187,4.3796835,6.925057,14.004966,2.872505,2.945303,2.7531455,3.430171,2.9591281,12.555094,2.798403,9.548753,3.2692056,2.7484846,11.644809,30.236824,3.0097578,4.233923,3.2300017,9.401402,2.7004185,3.5648189,2.8451564
2024-02-13 04:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0220606,,,,
2024-02-13 05:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8179216,,,,
2024-02-13 06:00:00+00:00,2.307659,5.3448973,2.4422,4.067285,6.1546755,9.046431,13.284234,2.4182398,2.3073225,2.9017956,2.8503711,3.2189763,5.408847,2.6134114,2.4722714,2.8961527,2.6778562,2.252235,9.002812,3.0609076,24.414728,4.715336,3.0163867,3.908902,2.1840172,3.5972912,3.1231103,3.985479,2.154769,2.6666803,3.5862522,5.6590385,11.658803,2.3241332,2.3871965,2.2888975,2.7962985,2.385749,15.885231,2.2322812,8.484781,2.7549613,2.1966364,13.384099,41.85025,2.4441679,3.4089506,2.6293182,9.669867,2.1259358,2.9318647,2.3111386
2024-02-13 07:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4609811,,,,
2024-02-13 08:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3061454,,,,
2024-02-13 09:00:00+00:00,1.8465707,4.986845,1.9707712,4.29992,6.471832,7.7690806,12.25491,1.9330684,1.8260527,2.393711,2.341331,2.6989717,6.08768,2.1174045,1.9652951,2.5859811,2.132639,1.7962917,7.547669,2.539583,35.1261,4.2245245,2.4739592,3.4962258,1.7388254,3.0724192,2.651372,3.4447405,1.7198762,2.176512,2.8947778,4.562402,9.510659,1.8927325,2.0593662,1.9327254,2.3737915,1.9231943,13.815473,1.790181,7.113315,2.2768447,1.7612787,22.447445,50.197556,2.0079525,2.7438898,2.13733,8.933753,1.6672995,2.3709123,1.8703327
2024-02-13 10:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.039915,,,,
